index_id,symbol,effective_from,effective_to,company_name,sector,listing_exchange,source,source_note
sp500,A,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AAL,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AAP,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AAPL,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ABBV,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ABC,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ABT,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ACN,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ADBE,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ADI,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ADM,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ADP,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ADS,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,ADSK,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AEE,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AEP,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AES,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AET,2018-01-02,2018-12-02,,,,sp500_official_sources_2018_2019_csv,Removed by SP500/official_sources_2018_2019.csv on 2018-12-03 (AET); event=M&A trigger; source_status=official_s&p_press; url=https://press.spglobal.com/2018-11-26-Lamb-Weston-Maxim-Integrated-Diamondback-Energy-Set-to-Join-S-P-500
sp500,AFL,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AGN,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AIG,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AIV,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AIZ,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
sp500,AJG,2018-01-02,2019-12-31,,,,public_sp500_20180102_anchor_plus_official_sources_2018_2019_csv,Public technical approximation from user-provided 2018-01-02 anchor plus SP500/official_sources_2018_2019.csv and local ticker events; validate with an independently licensed point-in-time constituent source before publication-grade claims.
